condition,branch,seed,call_position,order,bifurcation_position,token_S,token_id_S,logprob_S,rank_S,token_P,token_id_P,logprob_P,rank_P,delta,bound_kind,bound_value,top_n,calculation_status,calculation_reason,prompt_sha256,output_sha256,phase
K0,C,424,3,ABCD,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,0f246cd29280cad71396f1f00f8a7fd6379a42a255501005f87ffd3b02fc1179,main
K7,D,424,4,ABCD,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,d81666050cf81cc90e68ffafde776d1674009a93f6c24e7638b30bf9d4f5ff77,main
R7,B,425,1,BCDA,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,7404c4e1d672c198507762ae7e968a5acc8795025de893937bb65ee8ff53a5a6,main
K0,C,425,2,BCDA,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,e355c222b54e00003c71f65fa93ce78ff458164c4af1ae47a430865e618c4c5b,main
K7,D,425,3,BCDA,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,fa22c2c3a7c2fc3145fed73ece0d946e149bd52271c12303d529c765a6899240,main
R0,A,425,4,BCDA,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,dc641376faaea28e62a7aa19596562e3adc2d206b2cda14cbac959a0d3271be0,main
K0,C,426,1,CDAB,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,88af74a26e55d45af3c847b69a69d235aaacf83adeb581e743f8ab65a429ac03,main
K7,D,426,2,CDAB,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,cf33c689d4b46418319ed900d179a541a741c0c9ba36a1cc866b0d4ec540273d,main
R0,A,426,3,CDAB,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,0106003f0f7638eb82ba417efb3a819810f5e093d3a119ec58d58efc17d222d8,main
R7,B,426,4,CDAB,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,6d07861ea224e6d80f4f65487a37381d6ba9e18fc64c3bee8b75ca3c24d6d3cf,main
K7,D,427,1,DABC,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,2f3cf015e1aa83352a8328745523395a0f0931019e7de676f93cb6315f00997a,main
R0,A,427,2,DABC,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,5341bd54ff1ac3ace27aab8eadb03f52ddd39659ed44de8138626e6655491f04,main
R7,B,427,3,DABC,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,b7b295cacda75ee30c01e651dac449a76d484c17f6a80b50f61bb69c359165bc,main
K0,C,427,4,DABC,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,8daa6199d632b02f302f69c6fa229840a4bf9254596b2ddad6f84b666d831f1a,main
K7,D,428,1,DCBA,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,e2091db486d2c0b82b161fd472568f05fa4afb6cb210236437e3f2608753b6df,main
K0,C,428,2,DCBA,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,84c7bfd12a03a2bbcaf3c007afa5ac85c1fee2c15796e95560ae10dd3b9630d1,main
R7,B,428,3,DCBA,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,34a777d19205d16a1bee48066c7ca7ef285e818a29e809da369f3d4485cb6864,main
R0,A,428,4,DCBA,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,c19840dbd832d80be0508e07ff271b586201e556b037df536798c40a37a49a65,main
R0,A,429,1,ADCB,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,503afad90873df37e705702487722784523475f28a773f15d8516515d061e8e7,main
K7,D,429,2,ADCB,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,4a40cbade0de9008decfa73458b204b77b04d3db58de85097090b76ac21f897a,main
K0,C,429,3,ADCB,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,3bb7e1be58292d7a1787e856b6195488d2b794013f3aab2df696e320a9545147,main
R7,B,429,4,ADCB,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,1d36ce93b1934a476c57facbeaded3ff5658a737fddb307e35a33fa2fc6de437,main
R7,B,430,1,BADC,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,d8b9e8e279bdbb0dbd9bfbb549ce8f65bc407c12e6083579acf7731e01068116,main
R0,A,430,2,BADC,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,81277018e2335b6cab01fdf3bebdba32d9e229a80b7db007e9ac09071e4b777d,main
K7,D,430,3,BADC,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,996d66f77c9a302defbf6cb32baf40ca360c69b86adc5a1485fd0be48e795d37,main
K0,C,430,4,BADC,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,a8601adee5f4083d4dcc97f4fe2f7a18672a79ab0bf04b45f960d556f380bb5d,main
K0,C,431,1,CBAD,8,sil,,-0.6199643015861511,1,parole,,-0.7807443141937256,2,0.16078001260757446,,,5,exact,,1166d7d05b3b96647f184270b8401bb0273efd6ad129eaf97b70892701130911,9b8e24ee8ef45ea7ba140a82e7062bb6a7ccb1a805842db6968a913936ee4007,main
R7,B,431,2,CBAD,8,sil,,-0.6785305142402649,1,parole,,-0.7165859341621399,2,0.038055419921875,,,5,exact,,5af686053eb0f02cb39925ce520510c027468519e1442b009569fec358024cb2,40d1e5adeeb2ef47685c2abb64490d3454ea7405d41fc3325ab46aee09ed68e5,main
R0,A,431,3,CBAD,8,sil,,-0.6829010248184204,1,parole,,-0.7116065621376038,2,0.02870553731918335,,,5,exact,,f02269aceb9b393fabda77107cfd7b23ea3eab8790b7187a3530683738b794cd,2e5721193f50359f98a14cb4017b8c2f78dea4ed2500bf50a9313528ce873b34,main
K7,D,431,4,CBAD,8,sil,,-0.5934948325157166,1,parole,,-0.8133338689804077,2,0.21983903646469116,,,5,exact,,20b967debbe254a42af639a0133050acc59ad74e6dd7c4571dd637f076037d83,ffd901e83cdbb466ca481de2304f4d55aa560b61fbf9c9d0447e4b8be3a75101,main
